qid,query,document,label
88,ما ال feature space,"محاكاة الدماغ هي البحث عن بنية شبيهة ببنية الدماغ أي نأخذ الاية التي يتعلم بها الانسان ونطبقها على الالة، أن نفكر كيف يعالج الانسان المعلومات ويتطور مع الايام، كيف يتعلم الدماغ وكيف تتخزن المعرفة وكيف يتحسن الاداء بالتدريب، أن نفهم بنية الدماغ.",0
89,ما هو ال Feature Extraction,"استخراج السمات يعني انتقاء السمات المناسبة من أجل بناء نتائج أقرب ما يمكن للصحة وهو عامل مهم في تحديد  نتائج الالة، مثال: إذا أردنا اختبار صحة مريض فلا يهمنا لون سيارته أو أسمه أو رقم هاتفه وإنما نبحث عن السمات التي  ستفيدنا في مشكلتنا مثل العمر وفيما إذا كان مدخن أو يعاني من مرض وراثي.  ويمكن اعتبار الصفات المختارة جيدة إذا انتجت لدي نتائج قابلة للفصل نوعاً ما.",4
90,ما هو ال Feature Extraction,"السمات وهي أي شي قابل للقياس مثل الوزن والطول.. والخ، ويمكن جمعهم بما يسمى "" شعاع السمات """,2
91,اريد مثالا معروف لمسألة تصنيف (Classification),"مشكلة تحديد سمك السلمون عن سمك السيباس عن طريق صورة السمكة.
لدينا المعلومات الاتية:  وهو أن سمك السلمون أغلى من سمك السيباس بكثير وبالتالي فإن الاخطاء التي تحدث تسبب خسارة مالية لصاحب المصنع، في حال عدم القدرة على تحديد نوع السمكة على الجهاز أن يحدد السمكة على أنها سمكة سلمون وذلك  لتحقيق مصلحة المستهلك",3
92,اريد مثالا معروف لمسألة تصنيف (Classification),إن اختيار سمات منفصلة وغير متداخلة تحسن من عملية التصنيف.,0
93,اريد مثالا معروف لمسألة تصنيف (Classification),تصنيف اإليميل إلى spam و normal,4
94,ما الفرق بين ال overfitting و underfitting,"عند استخدام سمات معقدة وكثيرة لانشاء التنصيف فإنه قد ينتج لدينا رسم بياني مفرط التعقيد وعند ازدياد كمية المعلومات سيصبح من الصعب عليه فرزهم بشكل صحيح وهذا ما يسمى بال.Overfitting
وعلى عكس الOverfitting، فإنها عند استخدام سمات غير مهمة أو ال تحقق المطلوب سينتج لدينا خط بياني غير قادر على التنصيف بشكل جيد ويؤدي إلى التداخل وهذا ما يسمى Underfitting.",4
95,ما الفرق بين ال overfitting و underfitting,إن اختيار سمات منفصلة وغير متداخلة تحسن من عملية التصنيف.,0
96,ما هو ال overfitting,عند استخدام سمات معقدة وكثيرة لانشاء التنصيف فإنه قد ينتج لدينا رسم بياني مفرط التعقيد وعند ازدياد كمية المعلومات سيصبح من الصعب عليه فرزهم بشكل صحيح,4
97,ما هو ال overfitting,عند استخدام سمات غير مهمة أو ال تحقق المطلوب سينتج لدينا خط بياني غير قادر على التنصيف بشكل جيد ويؤدي إلى التداخل,0
98,ما هو ال  underfitting,عند استخدام سمات معقدة وكثيرة لانشاء التنصيف فإنه قد ينتج لدينا رسم بياني مفرط التعقيد وعند ازدياد كمية المعلومات سيصبح من الصعب عليه فرزهم بشكل صحيح,0
99,ما هو ال  underfitting,عند استخدام سمات غير مهمة أو ال تحقق المطلوب سينتج لدينا خط بياني غير قادر على التنصيف بشكل جيد ويؤدي إلى التداخل,4
100,ما هو ال  underfitting,"يتم التعلم بوجود معلم حيث قيم الخرج فيه مستمرة، يفيد في التنبؤ",0
